,APRexplained,BadWordCount,Flesch,FleschKincaid,FogIndex,GoodWordCount,Jargon,WordCount
0,1,2,62.51883209126626,12.611258132854335,17.498622642414936,2,4,2177
1,0,0,66.21026785714287,7.284940476190474,14.011904761904763,2,1,105
2,0,3,56.967683473389386,13.1969243697479,17.147114845938376,1,1,476
3,0,0,65.72500000000001,7.570000000000004,11.314285714285715,0,0,14
4,0,2,49.900016832183155,15.03247264770241,19.05059754250126,1,1,457
5,0,1,60.41233926805147,12.806371343789746,17.289133813762895,2,3,1348
6,0,4,54.629360179697215,10.977210130780602,14.595078507846399,1,3,2213
7,1,3,54.42785757871218,11.588896542289259,15.498195684321843,3,4,3313
8,1,1,48.10235294117649,15.599887955182076,20.610644257703083,1,3,510
9,0,2,47.16450375209226,15.979576204072725,20.328932419532283,2,4,2957
10,1,1,42.890303767993245,17.755324482883754,22.45991290673763,4,5,1181
